user_id,latitude,longitude,label
2389363843,40.417222219999999,-86.878611109999994,education
3290111838,40.416702200000003,-86.875286900000006,education
127715541,40.417369999999998,-86.876549999999995,education
100047198,40.420481799999997,-86.900920299999996,transportation
120669047,40.416702200000003,-86.875286900000006,education
29604233,40.416702200000003,-86.875286900000006,education
113473032,40.416702200000003,-86.875286900000006,education
149017831,40.416702200000003,-86.875286900000006,education
99334945,40.377283499999997,-86.818308999999999,transportation
150474455,40.416702200000003,-86.875286900000006,education
171952691,40.416702200000003,-86.875286900000006,education
357112213,40.416702200000003,-86.875286900000006,education
120347982,40.416702200000003,-86.875286900000006,education
39155618,40.416490699999997,-86.834908999999996,financial
127715541,40.417369999999998,-86.876549999999995,education
220254376,40.416702200000003,-86.875286900000006,education
336113098,40.435054700000002,-86.877229799999995,education
127715541,40.417369999999998,-86.876549999999995,education
381643559,40.396431659999998,-86.853853860000001,transportation
252620329,40.3710357,-86.8680217,transportation
252620329,40.3707694,-86.867002999999997,transportation
252620329,40.371172700000002,-86.867883500000005,transportation
21725584,40.425868600000001,-86.908065500000006,utilities
252620329,40.371188600000004,-86.867786699999996,transportation
100047198,40.392929000000002,-86.849755000000002,transportation
14262337,40.391041229999999,-86.858951719999993,sustenance
99334945,40.416702200000003,-86.875286900000006,education
252620329,40.3707694,-86.867002999999997,transportation
1368135756,40.393466699999998,-86.881879699999999,education
300391419,40.396687800000002,-86.865031999999999,transportation
2535717440,40.425868600000001,-86.908065500000006,utilities
120669047,40.416702200000003,-86.875286900000006,education
22896762,40.418167590000003,-86.85270242,transportation
236698878,40.416702200000003,-86.875286900000006,education
149017831,40.416702200000003,-86.875286900000006,education
127715541,40.417369999999998,-86.876549999999995,education
100047198,40.392929000000002,-86.849755000000002,transportation
399779910,40.426689099999997,-86.886741599999993,education
205530091,40.417222219999999,-86.878611109999994,education
122111322,40.4191,-86.894999999999996,sustenance
259925143,40.452127220000001,-86.917051330000007,transportation
385007423,40.4282684,-86.922439600000004,transportation
259925143,40.453757179999997,-86.911210999999994,financial
205530091,40.417222219999999,-86.878611109999994,education
252620329,40.3711384,-86.867800000000003,transportation
252620329,40.371190200000001,-86.867824999999996,transportation
259925143,40.419185650000003,-86.890693350000006,sustenance
259925143,40.420000000000002,-86.846999999999994,transportation
22896762,40.396531260000003,-86.857022689999994,transportation
72653327,40.416702200000003,-86.875286900000006,education
2259229658,40.416702200000003,-86.875286900000006,education
400816855,40.419254299999999,-86.894638099999995,sustenance
72653327,40.416702200000003,-86.875286900000006,education
100047198,40.415256900000003,-86.839597100000006,financial
99334945,40.416727799999997,-86.858481999999995,transportation
2497000586,40.416702200000003,-86.875286900000006,education
372968455,40.416702200000003,-86.875286900000006,education
252620329,40.371425299999999,-86.867708300000004,transportation
252620329,40.371425299999999,-86.867708300000004,transportation
258514526,40.419029199999997,-86.894722000000002,sustenance
402979440,40.407688100000001,-86.860450700000001,transportation
220254376,40.416702200000003,-86.875286900000006,education
259925143,40.400537999999997,-86.853145999999995,transportation
259925143,40.401601030000002,-86.858153139999999,transportation
149017831,40.416702200000003,-86.875286900000006,education
19847136,40.4142005,-86.864847600000004,education
1047261,40.424192220000002,-86.90679342,utilities
44469417,40.418739100000003,-86.817351540000004,sustenance
127715541,40.417369999999998,-86.876549999999995,education
127715541,40.417369999999998,-86.876549999999995,education
189011262,40.429600000000001,-86.871099999999998,transportation
22896762,40.418110839999997,-86.849348239999998,transportation
72653327,40.416702200000003,-86.875286900000006,education
189011262,40.429600000000001,-86.871099999999998,transportation
252620329,40.371425299999999,-86.867708300000004,transportation
252620329,40.371425299999999,-86.867708300000004,transportation
83584148,40.452933399999999,-86.918607390000005,healthcare
247940270,40.419034689999997,-86.890453449999995,sustenance
401036022,40.398995200000002,-86.892901980000005,education
154003391,40.419034689999997,-86.890453449999995,sustenance
1301246060,40.39604422,-86.853875529999996,transportation
154003391,40.419851059999999,-86.895428899999999,transportation
247940270,40.419851059999999,-86.895428899999999,transportation
292985985,40.417222219999999,-86.878611109999994,education
23355860,40.429431000000001,-86.901383999999993,utilities
44524722,40.417024869999999,-86.813127989999998,sustenance
2924224280,40.415256900000003,-86.839597100000006,financial
44524722,40.424155390000003,-86.858735780000004,transportation
154003391,40.424163630000002,-86.908603909999997,sustenance
154003391,40.423957000000001,-86.909114000000002,sustenance
247940270,40.423957000000001,-86.909114000000002,sustenance
2362771358,40.417171000000003,-86.857489999999999,transportation
127715541,40.417369999999998,-86.876549999999995,education
3144822634,40.425868600000001,-86.908065500000006,utilities
100047198,40.420481799999997,-86.900920299999996,transportation
120669047,40.416702200000003,-86.875286900000006,education
29604233,40.416702200000003,-86.875286900000006,education
113473032,40.416702200000003,-86.875286900000006,education
149017831,40.418748100000002,-86.857422200000002,transportation
99334945,40.377283499999997,-86.818308999999999,transportation
150474455,40.416702200000003,-86.875286900000006,education
171952691,40.416702200000003,-86.875286900000006,education
357112213,40.416702200000003,-86.875286900000006,education
120347982,40.416702200000003,-86.875286900000006,education
39155618,40.417171000000003,-86.857489999999999,transportation
236698878,40.416702200000003,-86.875286900000006,education
286248077,40.416702200000003,-86.875286900000006,education
336113098,40.435054700000002,-86.877229799999995,education
220254376,40.416702200000003,-86.875286900000006,education
127715541,40.417369999999998,-86.876549999999995,education
127715541,40.417369999999998,-86.876549999999995,education
3094904626,40.416702200000003,-86.875286900000006,education
252620329,40.3713725,-86.867957099999998,transportation
252620329,40.371117699999999,-86.867967500000006,transportation
252620329,40.3707694,-86.867002999999997,transportation
